"1","Pueblo de Oro","8.43688","124.611","Clubhouse","Job Hiring","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"2","Baungon Gold Club","8.30848","124.574","Gold Club","Job Hiring","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"3","Sumilao Hikers","8.26233","124.799","Hiker Society","In need of climber tourist","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Maria Cristina Falls","8.43788","124.800","Test Only","Job Hiring","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Broken","8.30900","124.574","Gold Club","Job Hiring","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 3","8.26233","124.799","Hiker Society","In need of climber tourist","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 1","8.26233","124.799","DEMO UPLOAD 1","In need of climber tourist 1","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 2","8.26233","124.799","DEMO UPLOAD 2","In need of climber tourist 2","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 3","8.26233","124.799","DEMO UPLOAD 3","In need of climber tourist 3","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 4","8.26233","124.799","DEMO UPLOAD 4","In need of climber tourist 4","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 5","8.26233","124.799","DEMO UPLOAD 5","In need of climber tourist 5","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 6","8.26233","124.799","DEMO UPLOAD 6","In need of climber tourist 6","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 7","8.26233","124.799","DEMO UPLOAD 7","In need of climber tourist 7","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 8","8.26233","124.799","DEMO UPLOAD 8","In need of climber tourist 8","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 9","8.26233","124.799","DEMO UPLOAD 9","In need of climber tourist 9","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 10","8.26233","124.799","DEMO UPLOAD 10","In need of climber tourist 10","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 11","8.26233","124.799","DEMO UPLOAD 11","In need of climber tourist 11","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 12","8.26233","124.799","DEMO UPLOAD 12","In need of climber tourist 12","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 13","8.26233","124.799","DEMO UPLOAD 13","In need of climber tourist 13","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 14","8.26233","124.799","DEMO UPLOAD 14","In need of climber tourist 14","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
"NULL","Test 15","8.26233","124.799","DEMO UPLOAD 15","In need of climber tourist 15","0","2019-06-05 00:00:00","2019-06-05 00:00:00"
